area_type,time_of_day,day_of_week,past_incidents,police_presence,lighting,crowd_density,risk_level
Commercial,Night,Weekend,17,Medium,Good,High,1
Residential,Night,Weekend,0,High,Good,Medium,0
Commercial,Morning,Weekday,10,Low,Average,Medium,0
Commercial,Morning,Weekend,1,Low,Good,Low,0
Commercial,Night,Weekend,0,High,Good,High,0
Commercial,Evening,Weekend,11,Low,Average,Low,1
Commercial,Night,Weekend,15,Low,Poor,Medium,2
Public,Night,Weekday,9,Low,Poor,Medium,1
Residential,Night,Weekday,17,Medium,Good,High,1
Public,Night,Weekend,14,Medium,Good,Low,1
Commercial,Morning,Weekend,16,Low,Poor,Medium,2
Residential,Evening,Weekend,9,High,Good,Low,0
Commercial,Night,Weekend,2,High,Poor,Low,1
Residential,Evening,Weekday,15,Medium,Average,Low,1
Public,Evening,Weekday,5,High,Good,Low,0
Residential,Evening,Weekday,2,Low,Average,Low,0
Residential,Night,Weekday,8,High,Poor,High,1
Residential,Morning,Weekend,10,Medium,Poor,High,0
Residential,Night,Weekend,12,Medium,Average,Low,1
Residential,Evening,Weekday,17,Low,Good,High,1
Commercial,Evening,Weekday,3,Medium,Average,Medium,0
Residential,Morning,Weekend,7,Medium,Average,Low,0
Residential,Night,Weekend,12,Medium,Good,High,1
Public,Evening,Weekend,9,High,Poor,High,0
Residential,Morning,Weekend,1,Medium,Average,Medium,0
Public,Evening,Weekend,7,High,Average,Medium,0
Commercial,Morning,Weekday,5,Medium,Poor,Medium,0
Residential,Morning,Weekday,15,Medium,Average,Medium,1
Public,Night,Weekend,17,High,Poor,Low,2
Public,Evening,Weekend,16,High,Good,High,1
Commercial,Night,Weekday,5,Low,Poor,High,1
Residential,Evening,Weekend,12,Low,Poor,Medium,2
Residential,Night,Weekday,13,High,Average,High,1
Public,Evening,Weekday,9,Medium,Poor,High,0
Residential,Night,Weekday,10,Low,Poor,High,1
Public,Morning,Weekday,12,High,Average,Medium,1
Residential,Evening,Weekend,11,High,Poor,High,1
Public,Evening,Weekend,8,Medium,Average,High,0
Residential,Morning,Weekday,3,High,Good,High,0
Commercial,Night,Weekend,6,Low,Poor,Low,1
Residential,Evening,Weekend,1,Medium,Good,Low,0
Residential,Evening,Weekend,6,High,Poor,High,0
Commercial,Night,Weekend,8,High,Poor,High,1
Residential,Morning,Weekday,4,Medium,Good,High,0
Commercial,Night,Weekend,14,Medium,Good,High,1
Residential,Night,Weekday,17,Medium,Average,High,1
Public,Night,Weekday,3,Low,Average,High,1
Public,Evening,Weekend,18,Low,Good,Low,1
Residential,Morning,Weekday,19,High,Poor,Medium,1
Residential,Morning,Weekend,6,High,Average,High,0
Residential,Night,Weekend,7,Medium,Poor,High,1
Public,Evening,Weekday,16,High,Average,High,1
Residential,Night,Weekend,12,High,Average,Medium,1
Public,Evening,Weekday,10,Medium,Average,High,0
Commercial,Evening,Weekday,0,Low,Good,High,0
Public,Evening,Weekend,1,Low,Poor,Medium,1
Public,Evening,Weekend,16,Low,Good,High,1
Commercial,Morning,Weekend,4,High,Average,Medium,0
Public,Evening,Weekday,5,Medium,Good,Medium,0
Residential,Evening,Weekend,6,Low,Good,High,0
Residential,Night,Weekday,14,High,Good,Low,1
Public,Night,Weekday,18,Medium,Poor,Low,2
Residential,Morning,Weekend,15,Low,Good,High,1
Public,Night,Weekend,12,Low,Good,Medium,2
Residential,Evening,Weekend,4,Medium,Good,Medium,0
Residential,Night,Weekday,2,High,Good,Medium,0
Public,Morning,Weekend,2,High,Good,High,0
Residential,Night,Weekday,18,Low,Good,Low,2
Public,Night,Weekend,13,Medium,Good,Medium,1
Residential,Morning,Weekend,15,High,Average,Medium,1
Residential,Morning,Weekday,16,Medium,Good,High,1
Commercial,Evening,Weekday,3,Medium,Good,Low,0
Commercial,Night,Weekend,12,Low,Poor,Low,2
Public,Evening,Weekend,7,Medium,Average,High,0
Commercial,Night,Weekend,18,Medium,Good,Low,1
Public,Night,Weekend,4,Medium,Poor,High,1
Commercial,Evening,Weekend,1,High,Good,Medium,0
Residential,Night,Weekday,14,Low,Good,High,2
Public,Night,Weekday,1,Low,Good,Medium,1
Public,Night,Weekday,10,Medium,Good,High,0
Residential,Morning,Weekday,12,Medium,Good,Medium,1
Public,Evening,Weekend,9,High,Poor,Medium,0
Public,Morning,Weekday,2,Low,Good,High,0
Commercial,Evening,Weekday,4,High,Poor,Medium,0
Public,Evening,Weekday,2,Low,Good,Low,0
Residential,Night,Weekend,5,High,Poor,High,1
Commercial,Evening,Weekday,12,Medium,Average,Low,1
Commercial,Morning,Weekend,9,High,Good,Medium,0
Residential,Morning,Weekday,18,Medium,Average,Medium,1
Residential,Morning,Weekend,7,Low,Average,Medium,0
Commercial,Evening,Weekday,17,Low,Average,High,1
Public,Morning,Weekend,2,Medium,Good,Medium,0
Commercial,Evening,Weekday,16,Low,Average,Low,1
Residential,Morning,Weekend,7,High,Poor,Low,0
Commercial,Morning,Weekend,9,Medium,Good,High,0
Residential,Evening,Weekday,1,Low,Average,Low,0
Commercial,Morning,Weekend,11,High,Good,High,1
Public,Night,Weekend,5,High,Average,High,0
Commercial,Evening,Weekday,1,Low,Poor,Medium,1
Commercial,Evening,Weekday,2,Low,Good,Low,0
Residential,Evening,Weekend,16,High,Good,Low,1
Residential,Night,Weekday,6,Medium,Average,Low,0
Residential,Evening,Weekday,4,Low,Poor,Medium,1
Commercial,Morning,Weekday,0,Low,Good,High,0
Public,Morning,Weekend,7,Medium,Average,Low,0
Residential,Morning,Weekend,11,Medium,Poor,Low,1
Residential,Evening,Weekend,13,Low,Poor,Low,2
Commercial,Morning,Weekend,15,Medium,Poor,Low,1
Residential,Evening,Weekend,9,High,Poor,Medium,0
Public,Morning,Weekend,14,High,Good,High,1
Public,Night,Weekend,14,High,Good,Low,1
Residential,Night,Weekday,9,Low,Poor,Low,1
Residential,Night,Weekend,6,Medium,Average,High,0
Commercial,Night,Weekend,2,High,Average,Medium,0
Public,Evening,Weekday,1,Medium,Poor,Medium,0
Public,Morning,Weekday,5,High,Poor,Medium,0
Residential,Night,Weekday,8,Medium,Average,Medium,0
Commercial,Evening,Weekend,9,High,Poor,Low,0
Public,Night,Weekday,3,High,Poor,High,1
Public,Night,Weekend,2,High,Good,High,0
Commercial,Evening,Weekend,8,High,Good,High,0
Commercial,Evening,Weekend,16,High,Poor,Medium,1
Public,Morning,Weekday,13,High,Poor,Medium,1
Public,Morning,Weekday,9,High,Good,High,0
Commercial,Night,Weekend,12,High,Poor,Low,2
Public,Night,Weekend,11,High,Good,Medium,1
Residential,Morning,Weekend,0,Medium,Good,Low,0
Residential,Morning,Weekday,18,Medium,Average,High,1
Commercial,Evening,Weekend,18,Low,Good,Medium,1
Commercial,Morning,Weekday,5,High,Average,Low,0
Commercial,Morning,Weekend,12,Medium,Average,Medium,1
Residential,Night,Weekday,18,Medium,Good,High,1
Public,Morning,Weekend,12,Medium,Poor,High,1
Residential,Night,Weekday,3,Medium,Good,High,0
Public,Morning,Weekday,1,Medium,Average,Low,0
Residential,Evening,Weekday,14,Medium,Good,Medium,1
Public,Morning,Weekday,11,Low,Good,Medium,1
Residential,Morning,Weekday,6,Medium,Average,Medium,0
Commercial,Morning,Weekday,19,Low,Good,High,1
Residential,Night,Weekend,17,Low,Good,Low,2
Public,Evening,Weekend,12,High,Average,High,1
Residential,Morning,Weekend,16,High,Poor,High,1
Residential,Night,Weekend,3,High,Average,Low,0
Residential,Evening,Weekday,13,Medium,Average,High,1
Commercial,Night,Weekend,19,High,Good,High,1
Residential,Night,Weekday,12,Medium,Average,Medium,1
Commercial,Evening,Weekday,2,Medium,Good,Low,0
Commercial,Morning,Weekday,17,High,Good,Low,1
Residential,Night,Weekend,13,High,Good,Medium,1
Residential,Night,Weekday,14,Low,Average,Low,2
Residential,Morning,Weekend,2,Low,Average,Medium,0
Public,Morning,Weekend,0,Medium,Good,High,0
Residential,Evening,Weekend,16,Medium,Poor,Low,1
Commercial,Evening,Weekend,2,High,Poor,Low,0
Residential,Evening,Weekend,13,High,Average,High,1
Public,Morning,Weekday,2,Low,Good,High,0
Residential,Night,Weekday,12,High,Good,Low,1
Public,Night,Weekend,14,Medium,Average,Low,1
Public,Evening,Weekday,17,High,Poor,Low,1
Residential,Morning,Weekend,13,Low,Average,Medium,1
Commercial,Night,Weekday,2,Medium,Average,Low,0
Public,Evening,Weekday,18,Low,Good,Low,1
Residential,Night,Weekday,7,Low,Average,High,1
Residential,Night,Weekday,3,Medium,Poor,High,1
Commercial,Morning,Weekday,3,Low,Average,Medium,0
Public,Morning,Weekday,18,High,Good,High,1
Public,Night,Weekday,10,High,Poor,Low,1
Residential,Evening,Weekday,0,Low,Good,Low,0
Residential,Morning,Weekday,7,High,Average,Medium,0
Commercial,Night,Weekday,14,Low,Average,High,2
Commercial,Morning,Weekday,0,High,Average,High,0
Public,Morning,Weekday,6,Low,Good,High,0
Public,Morning,Weekday,19,High,Average,Medium,1
Residential,Night,Weekend,19,Medium,Poor,High,2
Public,Evening,Weekday,10,Medium,Poor,High,0
Commercial,Evening,Weekday,13,High,Good,High,1
Commercial,Evening,Weekday,15,Low,Good,Low,1
Residential,Morning,Weekday,13,High,Good,Medium,1
Commercial,Night,Weekday,11,Low,Average,Low,2
Commercial,Morning,Weekday,16,High,Poor,Medium,1
Commercial,Evening,Weekend,13,High,Poor,High,1
Commercial,Evening,Weekend,9,Medium,Poor,Low,0
Residential,Night,Weekend,13,Low,Good,High,2
Residential,Morning,Weekday,17,Low,Good,High,1
Public,Evening,Weekday,8,Low,Average,Medium,0
Commercial,Night,Weekday,16,Low,Good,High,2
Public,Morning,Weekend,5,Low,Poor,Low,1
Residential,Morning,Weekday,7,Medium,Average,Medium,0
Residential,Evening,Weekday,12,High,Good,Medium,1
Residential,Evening,Weekend,17,Low,Good,Low,1
Residential,Morning,Weekend,4,Low,Poor,High,1
Residential,Morning,Weekday,5,High,Average,High,0
Residential,Evening,Weekday,18,Medium,Good,High,1
Residential,Morning,Weekday,3,Medium,Good,High,0
Commercial,Evening,Weekday,6,Medium,Average,High,0
Public,Morning,Weekend,3,High,Average,Medium,0
Residential,Evening,Weekday,10,High,Good,Medium,0
Commercial,Night,Weekday,11,Medium,Good,Low,1
Commercial,Evening,Weekend,13,Medium,Poor,High,1
Public,Evening,Weekday,12,High,Average,High,1
Residential,Night,Weekday,9,Medium,Good,High,0
Public,Morning,Weekend,17,Low,Good,Low,1
Residential,Night,Weekend,15,High,Good,High,1
Commercial,Evening,Weekday,4,Medium,Good,Medium,0
Commercial,Morning,Weekend,7,Low,Poor,High,1
Commercial,Night,Weekend,13,High,Average,Low,1
Commercial,Morning,Weekday,4,High,Good,Medium,0
Public,Morning,Weekend,7,Low,Average,Medium,0
Residential,Night,Weekday,5,High,Average,Medium,0
Residential,Morning,Weekday,15,Medium,Good,High,1
Public,Night,Weekday,3,High,Good,Low,0
Residential,Evening,Weekday,11,Medium,Good,Low,1
Commercial,Morning,Weekend,10,Low,Poor,High,1
Residential,Evening,Weekday,2,Low,Good,Low,0
Commercial,Evening,Weekday,11,High,Average,Medium,1
Public,Morning,Weekday,4,Low,Average,Medium,0
Residential,Night,Weekday,5,Low,Poor,Low,1
Public,Morning,Weekend,18,High,Good,Low,1
Residential,Evening,Weekend,17,Medium,Good,High,1
Commercial,Evening,Weekend,15,High,Poor,High,1
Public,Night,Weekday,10,High,Poor,High,1
Residential,Morning,Weekend,4,Medium,Good,High,0
Commercial,Evening,Weekend,8,Medium,Good,High,0
Public,Evening,Weekday,2,Medium,Average,High,0
Public,Evening,Weekend,7,High,Good,Medium,0
Residential,Night,Weekday,5,Medium,Good,Low,0
Residential,Evening,Weekend,3,Low,Average,High,0
Residential,Evening,Weekend,11,Medium,Average,Medium,1
Commercial,Morning,Weekend,11,Low,Average,Low,1
Residential,Morning,Weekend,15,Medium,Average,Low,1
Public,Evening,Weekday,9,Low,Poor,Low,1
Public,Evening,Weekday,13,Low,Average,High,1
Residential,Morning,Weekend,12,Low,Poor,High,2
Residential,Night,Weekday,8,Low,Average,High,1
Public,Night,Weekend,6,Low,Average,Low,1
Commercial,Night,Weekend,11,Medium,Average,Low,1
Residential,Night,Weekend,4,High,Good,Medium,0
Residential,Night,Weekend,17,High,Poor,Medium,2
Public,Night,Weekend,3,High,Average,Medium,0
Residential,Night,Weekend,1,High,Good,Medium,0
Commercial,Night,Weekday,2,High,Poor,Low,1
Public,Morning,Weekday,11,Low,Poor,High,2
Residential,Night,Weekend,2,Medium,Good,High,0
Public,Night,Weekday,3,Low,Poor,High,1
Residential,Night,Weekend,5,Medium,Good,High,0
Residential,Evening,Weekday,11,Medium,Average,Medium,1
Residential,Morning,Weekday,18,Medium,Good,Low,1
Commercial,Morning,Weekday,9,Medium,Poor,High,0
Commercial,Morning,Weekend,0,High,Poor,Low,0
Public,Night,Weekday,16,Medium,Average,Medium,1
Residential,Night,Weekend,15,Medium,Good,Medium,1
Residential,Evening,Weekend,8,High,Average,High,0
Commercial,Morning,Weekend,8,Low,Good,High,0
Residential,Night,Weekday,8,Low,Good,Medium,1
Commercial,Morning,Weekday,11,Low,Good,Medium,1
Residential,Evening,Weekday,8,Low,Average,Low,0
Public,Evening,Weekend,14,Medium,Average,Medium,1
Residential,Evening,Weekend,1,High,Poor,Low,0
Residential,Morning,Weekday,10,High,Average,Medium,0
Commercial,Night,Weekend,10,Low,Good,Low,1
Residential,Night,Weekday,7,High,Good,Medium,0
Residential,Evening,Weekday,5,Medium,Good,Medium,0
Commercial,Night,Weekday,19,Low,Average,Low,2
Public,Evening,Weekday,6,Medium,Poor,Low,0
Public,Morning,Weekend,2,Medium,Average,High,0
Commercial,Evening,Weekday,7,Medium,Poor,High,0
Commercial,Morning,Weekday,17,Medium,Average,Medium,1
Commercial,Evening,Weekday,16,Medium,Good,Medium,1
Commercial,Night,Weekday,10,Low,Poor,Low,1
Commercial,Night,Weekday,1,Medium,Average,Medium,0
Public,Evening,Weekday,18,Low,Good,High,1
Public,Night,Weekday,6,High,Poor,Low,1
Commercial,Night,Weekend,17,Medium,Poor,Medium,2
Residential,Night,Weekend,7,Medium,Good,Low,0
Commercial,Morning,Weekend,13,High,Good,High,1
Residential,Night,Weekend,6,Low,Average,High,1
Commercial,Morning,Weekday,3,Medium,Average,High,0
Commercial,Evening,Weekend,16,High,Good,Medium,1
Public,Night,Weekend,4,High,Average,Medium,0
Residential,Night,Weekend,11,Medium,Good,Medium,1
Residential,Night,Weekday,8,Low,Good,Medium,1
Public,Evening,Weekend,19,Low,Average,Medium,1
Public,Morning,Weekend,12,Medium,Average,Medium,1
Public,Morning,Weekday,17,High,Poor,High,1
Public,Night,Weekend,19,Medium,Poor,High,2
Residential,Evening,Weekday,8,Low,Average,Medium,0
Residential,Evening,Weekend,3,High,Average,High,0
Commercial,Evening,Weekday,7,Medium,Average,Low,0
Commercial,Evening,Weekend,0,High,Poor,Medium,0
Public,Evening,Weekend,16,Low,Average,Low,1
Public,Morning,Weekend,8,Low,Poor,Medium,1
Public,Morning,Weekday,19,Low,Poor,Medium,2
Commercial,Morning,Weekend,12,Medium,Poor,High,1
Commercial,Night,Weekday,1,High,Poor,Low,1
Commercial,Evening,Weekday,12,Medium,Good,High,1
Commercial,Night,Weekday,8,Medium,Average,Medium,0
Commercial,Evening,Weekday,19,Medium,Average,Low,1
Commercial,Morning,Weekend,5,Medium,Good,Medium,0
Commercial,Night,Weekend,0,High,Average,High,0
Public,Morning,Weekend,4,High,Poor,Medium,0
Public,Evening,Weekday,2,Medium,Good,Medium,0
Public,Evening,Weekend,3,Medium,Poor,High,0
Public,Evening,Weekday,0,Low,Good,Medium,0
Commercial,Morning,Weekday,13,Low,Poor,Low,2
Residential,Evening,Weekday,8,High,Average,High,0
Commercial,Morning,Weekend,3,Low,Average,Medium,0
Residential,Night,Weekend,17,High,Average,High,1
Public,Evening,Weekday,13,High,Good,Medium,1
Commercial,Evening,Weekend,3,High,Average,High,0
Public,Evening,Weekend,9,Low,Good,High,0
Commercial,Night,Weekday,2,Low,Poor,Low,1
Public,Evening,Weekday,6,High,Average,High,0
Residential,Morning,Weekend,9,High,Poor,Low,0
Residential,Morning,Weekday,12,Medium,Average,High,1
Residential,Evening,Weekday,3,High,Poor,High,0
Commercial,Evening,Weekend,17,High,Good,Medium,1
Residential,Night,Weekend,10,Medium,Average,Medium,0
Commercial,Night,Weekday,3,High,Good,Medium,0
Residential,Night,Weekend,13,High,Good,High,1
Residential,Evening,Weekday,17,High,Poor,High,1
Commercial,Night,Weekday,7,Medium,Average,Low,0
Commercial,Night,Weekend,9,Low,Good,Low,1
Residential,Morning,Weekday,4,High,Poor,Low,0
Commercial,Night,Weekday,6,Medium,Poor,Medium,1
Residential,Morning,Weekday,11,High,Poor,Medium,1
Commercial,Morning,Weekend,2,Medium,Average,Low,0
Public,Night,Weekend,3,High,Average,High,0
Public,Morning,Weekend,9,Medium,Poor,Medium,0
Public,Evening,Weekday,3,Low,Average,Medium,0
Public,Evening,Weekday,14,Low,Poor,Low,2
Public,Night,Weekend,9,Low,Average,Medium,1
Residential,Evening,Weekend,15,High,Average,Low,1
Public,Morning,Weekend,14,Medium,Poor,Medium,1
Public,Evening,Weekday,18,High,Poor,High,1
Public,Night,Weekend,19,High,Average,High,1
Public,Night,Weekday,18,Medium,Poor,Medium,2
Commercial,Morning,Weekend,17,High,Poor,Low,1
Residential,Night,Weekday,11,Medium,Poor,Medium,2
Public,Evening,Weekday,15,Medium,Poor,Low,1
Public,Night,Weekend,0,Low,Average,Medium,1
Public,Morning,Weekday,15,Low,Good,High,1
Residential,Night,Weekend,1,Low,Average,High,1
Commercial,Evening,Weekday,14,Medium,Poor,Medium,1
Residential,Morning,Weekday,6,Low,Poor,Medium,1
Commercial,Evening,Weekend,0,Medium,Average,Medium,0
Public,Morning,Weekday,4,High,Poor,High,0
Public,Night,Weekend,9,Low,Average,High,1
Residential,Morning,Weekend,3,Medium,Good,Low,0
Residential,Morning,Weekend,13,Medium,Poor,Medium,1
Commercial,Night,Weekday,12,Medium,Good,Medium,1
Commercial,Evening,Weekday,0,Medium,Good,High,0
Residential,Night,Weekday,15,Low,Poor,Medium,2
Commercial,Morning,Weekend,8,Low,Poor,Low,1
Residential,Night,Weekend,15,Low,Average,Medium,2
Commercial,Morning,Weekday,18,Medium,Average,High,1
Residential,Night,Weekday,14,High,Poor,Medium,2
Residential,Night,Weekend,13,Medium,Average,High,1
Residential,Evening,Weekday,19,High,Good,Low,1
Commercial,Morning,Weekend,9,Low,Good,Low,0
Commercial,Evening,Weekday,11,Medium,Poor,Medium,1
Commercial,Morning,Weekend,0,Medium,Average,Medium,0
Residential,Night,Weekday,16,Low,Poor,High,2
Commercial,Morning,Weekday,8,Medium,Good,Low,0
Commercial,Evening,Weekend,18,High,Poor,Low,1
Residential,Evening,Weekend,17,High,Poor,Low,1
Public,Evening,Weekend,6,High,Poor,Low,0
Residential,Morning,Weekday,8,Medium,Poor,Medium,0
Commercial,Evening,Weekend,11,Medium,Good,Medium,1
Residential,Evening,Weekend,6,High,Poor,High,0
Public,Evening,Weekday,13,Medium,Poor,Low,1
Residential,Night,Weekend,14,High,Average,Medium,1
Commercial,Night,Weekend,14,Low,Poor,Medium,2
Public,Morning,Weekend,5,High,Average,Low,0
Commercial,Morning,Weekday,13,Low,Poor,Medium,2
Public,Evening,Weekday,1,Low,Average,High,0
Public,Night,Weekday,7,Low,Poor,High,1
Residential,Evening,Weekend,12,High,Average,Low,1
Residential,Evening,Weekday,5,High,Poor,High,0
Commercial,Night,Weekend,4,Medium,Poor,Medium,1
Residential,Night,Weekend,4,Medium,Average,High,0
Residential,Night,Weekend,0,Low,Poor,Medium,1
Public,Morning,Weekday,8,High,Poor,Low,0
Residential,Morning,Weekday,5,Medium,Poor,Low,0
Public,Evening,Weekend,19,Medium,Poor,Medium,1
Public,Morning,Weekend,6,Medium,Good,Medium,0
Public,Night,Weekday,8,High,Poor,High,1
Commercial,Night,Weekday,4,Medium,Good,Medium,0
Commercial,Morning,Weekday,13,Low,Good,Low,1
Commercial,Evening,Weekend,4,High,Poor,Medium,0
Public,Evening,Weekday,7,Medium,Average,High,0
Commercial,Morning,Weekday,6,Medium,Average,High,0
Commercial,Evening,Weekday,12,High,Poor,Medium,1
Residential,Evening,Weekend,12,Medium,Good,High,1
Commercial,Evening,Weekday,7,Medium,Average,High,0
Commercial,Night,Weekend,10,Low,Poor,Low,1
Public,Night,Weekend,17,High,Poor,Medium,2
Public,Morning,Weekend,18,Medium,Good,Low,1
Public,Night,Weekday,5,High,Average,Low,0
Public,Evening,Weekday,1,High,Poor,High,0
Public,Night,Weekday,12,Low,Average,Low,2
Public,Morning,Weekend,10,Low,Poor,Medium,1
Commercial,Night,Weekday,0,High,Poor,Medium,1
Public,Evening,Weekend,1,Low,Poor,Medium,1
Public,Evening,Weekday,16,Low,Good,Low,1
Residential,Morning,Weekday,7,Medium,Good,Medium,0
Commercial,Night,Weekday,1,Low,Good,Medium,1
Commercial,Night,Weekday,5,Low,Average,Low,1
Commercial,Night,Weekend,4,Medium,Good,Low,0
Public,Evening,Weekend,15,Medium,Good,Low,1
Public,Morning,Weekend,7,High,Average,Low,0
Public,Night,Weekend,18,Low,Average,High,2
Residential,Evening,Weekday,15,Medium,Average,Low,1
Public,Evening,Weekend,12,Low,Average,Low,1
Residential,Evening,Weekend,19,High,Good,Medium,1
Commercial,Night,Weekend,6,Low,Good,Medium,1
Public,Night,Weekday,15,Low,Average,Low,2
Residential,Night,Weekend,15,Low,Good,Low,2
Residential,Night,Weekend,11,Medium,Poor,Low,2
Public,Night,Weekday,13,Medium,Good,Medium,1
Commercial,Night,Weekday,17,High,Poor,Medium,2
Commercial,Night,Weekend,17,Low,Average,Low,2
Commercial,Night,Weekend,15,High,Average,Medium,1
Residential,Night,Weekday,19,High,Good,Medium,1
Residential,Evening,Weekend,15,Medium,Average,Low,1
Residential,Night,Weekday,12,Low,Good,Medium,2
Residential,Morning,Weekend,8,Low,Good,Low,0
Commercial,Evening,Weekend,8,High,Good,High,0
Public,Night,Weekend,12,Low,Good,High,2
